TID,KR
string,string
TID_BATTLE_END_QUESTS_COMPLETED,완료한 퀘스트: <NUM>개
TID_BATTLE_END_QUESTS_PROGRESSED,진행 중인 퀘스트: <NUM>개
TID_TICKET_COMPENSATION_TITLE,업데이트 알림
TID_TICKET_COMPENSATION_INFO,티켓이 게임에서 삭제됩니다. 기존에 보유한 티켓에 따라 보석 보상이 지급됩니다.
TID_TICKET_COMPENSATION_CLAIM,받기!
TID_BRAWL_PASS_OLD_BOXES_TITLE,남은 상자 열기
TID_BRAWL_PASS_QUESTS_LABEL,퀘스트
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,트로피 <TROPHIES>개를 모아 퀘스트를 잠금 해제하세요!
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,이제 트로피 진척도에서 퀘스트를 잠금 해제할 수 있습니다!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,트로피 진척도에서 퀘스트를 잠금 해제하세요
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,티어 구매
TID_QUESTS_TITLE,퀘스트
TID_QUEST_DESC_1,전투 <AMOUNT>회 승리
TID_QUEST_DESC_2,적 <AMOUNT>명 처치
TID_QUEST_DESC_3,<AMOUNT> 피해 주기
TID_QUEST_DESC_4,<AMOUNT>HP 회복
TID_QUEST_DESC_5,\q다시 플레이\q\n<NUM>회 사용
TID_QUEST_DESC_6,팀으로 <NUM>번 전투
TID_QUEST_DESC_7_MODE_0,<AMOUNT>초 동안 보석 <LIMIT>개 이상 보유
TID_QUEST_DESC_7_MODE_2,금고에 <AMOUNT> 피해 주기
TID_QUEST_DESC_7_MODE_3,별 <LIMIT>개 이상으로 전투 <AMOUNT>회 완료
TID_QUEST_DESC_7_MODE_5,공 <AMOUNT>번 패스
TID_QUEST_DESC_7_MODE_6,파워 큐브 <AMOUNT>개 모으기
TID_QUEST_DESC_7_MODE_9,두 플레이어가 모두 살아있는 동안 파워 큐브 <AMOUNT>개 모으기
TID_QUEST_DESC_7_MODE_17,<AMOUNT>초 동안 거점 점령
TID_QUEST_DESC_7_MODE_20,처치되지 않고 <AMOUNT>라운드 완료
TID_QUEST_DESC_1_LEVELED,레벨 완료
TID_QUEST_DESC_1_BIG_GAME,전투 <AMOUNT>회 승리
TID_QUEST_DESC_1_BIG_GAME_SINGLE,전투 <AMOUNT>회 승리
TID_QUEST_HERO_CONDITION,\n브롤러: <HERO>
TID_QUEST_MODE_CONDITION,\n모드: <MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\n팀원과 함께 플레이
TID_QUEST_NEW,NEW
TID_QUEST_PREMIUM,브롤 패스 전용
TID_RANK_POPUP_QUESTS,퀘스트
TID_RANK_POPUP_CLUB_FEATURE,클럽
TID_BRAWL_PASS_POPUP_TITLE,브롤 패스
TID_BRAWL_PASS_POPUP_INFO,시즌 <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,현재 시즌
TID_BRAWL_PASS_PREVIOUS_SEASON,이전 시즌
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,탭해서 보상 수령
TID_BRAWL_PASS_UNLOCK_INFO,프리미엄 보상 잠김
TID_BRAWL_PASS_UNLOCK_LABEL,잠금 해제
TID_BRAWLPASS_PURCHASE_ERROR_3,해당 시즌의 브롤 패스를 이미 구매했습니다.
TID_BRAWLPASS_PURCHASE_ERROR_4,해당 브롤 패스는 더는 이용할 수 없습니다!
TID_BRAWLPASS_PURCHASE_ERROR_5,브롤 패스 번들을 이용할 수 없습니다. 이미 모든 보상을 획득했습니다!
TID_BRAWLPASS_PURCHASE_ERROR_6,보석 수량이 마이너스일 때는 브롤 패스를 구매할 수 없습니다.
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,티어 즉시 완료
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,토큰 <NUM>개를 구매해 다음 티어로 건너뛸까요?
TID_PURCHASE_BRAWL_PASS_TITLE,브롤 패스 구매
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,브롤 패스
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,브롤 패스 번들
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"전용 보상과 추가 퀘스트, 그리고 매주 <NUM>번의 추가 리롤 기회 획득"
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,브롤 패스 + 티어 <NUM>개 잠금 해제
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,지난 브롤 패스 시즌은 구매할 수 없습니다.
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,현재의 브롤 패스 시즌을 찾을 수 없습니다. 나중에 다시 시도해 주세요.
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,현재의 브롤 패스 시즌을 이미 잠금 해제했습니다.
TID_TAKEDOWNS_LABEL,테이크다운
TID_DEFEAT_LABEL,패배
TID_UNDERDOG,언더독
TID_ACCESSORY,가젯
TID_BATTLE_END_COIN_SHOWER,코인 샤워 이벤트
TID_LFG_POPUP_TITLE_MEMBER,멤버 찾기
TID_LFG_POPUP_TITLE_TEAM,팀 찾기
TID_LFG_POPUP_INFO_MEMBER,함께 플레이할 팀원 찾기
TID_LFG_POPUP_INFO_TEAM,현재 팀에 참여할 플레이어 찾기
TID_LFG_POPUP_EVENT_LABEL_MEMBER,이벤트 기준 (탭하여 변경)
TID_LFG_POPUP_EVENT_LABEL_TEAM,플레이할 모드 (탭하여 변경)
